gene,n,label,acc
SPI1,29.0,1.0,0.896551724137931
SPIN1,5.0,1.0,0.8
SRSF1,6.0,1.0,0.6666666666666666
SSTR2,10.0,0.0,0.8
SSX2,3.0,1.0,1.0
STAT3,10.0,1.0,0.8
STK32C,3.0,1.0,1.0
STK4,9.0,1.0,0.8888888888888888
STK40,4.0,1.0,0.75
SUMO2,6.0,1.0,1.0
SUMO3,6.0,1.0,1.0
SYK,737.0,1.0,0.9416553595658074
TAS1R2,8.0,0.0,0.875
TBP,240.0,0.0,0.7916666666666666
TGFBI,21.0,1.0,0.9523809523809523
TIMP2,7.0,1.0,1.0
TLR3,12.0,1.0,0.9166666666666666
TNFRSF10B,6.0,0.0,1.0
TOM1,367.0,1.0,0.9536784741144414
TP53,76.0,1.0,0.8947368421052632
TPMT,57.0,0.0,0.9298245614035088
TPS1,27.0,0.0,0.8888888888888888
TUBA1A,3.0,0.0,1.0
TUBA1B,3.0,0.0,1.0
TUBB,7.0,0.0,0.8571428571428571
TUBB3,4.0,0.0,1.0
TUBB6,3.0,0.0,1.0
TUBG1,4.0,0.0,0.75
TYK2,11.0,1.0,0.9090909090909091
UBB,7.0,0.0,0.8571428571428571
UBTD1,4.0,1.0,0.75
ULK3,26.0,1.0,1.0
VEGFA,8.0,1.0,1.0
WIF1,5.0,1.0,1.0
XPO1,74.0,1.0,0.9864864864864865
YWHAZ,3.0,0.0,0.6666666666666666
ZCCHC10,7.0,1.0,1.0
ZFP36,30.0,1.0,0.9666666666666667
